Designator,Mid X,Mid Y,Rotation,Layer
M1,86.62,-48.09,0.0,top
M10,86.62,-70.24,180.0,bottom
M11,90.42,-70.24,0.0,top
M12,90.42,-70.24,180.0,bottom
M2,88.52,-70.24,0.0,top
M3,86.62,-70.24,0.0,top
M4,88.52,-49.09,0.0,top
M5,90.42,-48.09,0.0,top
M6,88.52,-70.24,180.0,bottom
M7,90.42,-48.09,180.0,bottom
M8,88.52,-49.09,180.0,bottom
M9,86.62,-48.09,180.0,bottom
