Designator,Mid X,Mid Y,Rotation,Layer
C1,7.89,0.05,90.0,top
C2,13.07,-4.32,0.0,top
C4,13.12,-3.45,0.0,top
J1,18.72,0.0,90.0,bottom
M1_2,0.0,0.0,0.0,top
M1,-1.9,0.0,0.0,top
M2,0.0,1.0,180.0,bottom
M3,0.0,-1.0,180.0,bottom
M4,1.9,0.0,0.0,top
M5,11.41,4.12,0.0,top
M6,8.87,4.12,0.0,top
M7,13.95,4.12,0.0,top
U1,10.12,-0.9,0.0,top
