Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,100nF,
C2,0402,1,100nF 0402,
C4,0603,1,4.7nF 0603,
J1,AMPHENOL_10144042-04011LF,1,10144042-04011LF,
U1,ST_UFQFPN-20_3x3mm_P0.5mm,1,STM32L011F4Ux,
