Designator,Mid X,Mid Y,Rotation,Layer
C1,-2.98,1.57,90.0,top
C2,2.97,1.42,270.0,top
C3,2.96,-1.45,90.0,top
M1,-1.9,0.0,180.0,top
M2,0.0,1.0,270.0,bottom
M3,0.0,-1.0,270.0,bottom
M4,1.9,0.0,180.0,top
U2,0.0,0.0,270.0,top
